==11708== NVPROF is profiling process 11708, command: ./encryptApp
==11708== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11708== Profiling application: ./encryptApp
==11708== Profiling result:
==11708== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long)
          5               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          5               inst_executed_global_stores                             Warp level instructions for global stores       92160       92160       92160
          5                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          5               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          5              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          5              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          5           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          5             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          5          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          5              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          5                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          5                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads    50841600    50841600    50841600
          5                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          5                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          5               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.    88473600    88473600    88473600
          5                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          5              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          5                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          5                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          5             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          5                      global_load_requests              Total number of global load requests from Multiprocessor      365760      365760      365760
          5                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          5                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          5                     global_store_requests             Total number of global store requests from Multiprocessor      365760      365760      365760
          5                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          5                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          5                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          5                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          5                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          5                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          5                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          5                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       0.94%       0.95%       0.94%
          5                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      75.07%      75.54%      75.20%
          5                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)       0.03%       0.04%       0.04%
          5                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          5                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          5                               stall_other                                           Issue Stall Reasons (Other)      20.97%      21.48%      21.34%
          5          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.00%       0.01%       0.00%
          5                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       1.52%       1.57%       1.55%
          5                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.09%       0.12%       0.10%
          5                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.81%       0.83%       0.82%
          5                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          5                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          5                      l2_read_transactions                                                  L2 Read Transactions     1649636     1649905     1649796
          5                     l2_write_transactions                                                 L2 Write Transactions     2764823     2764823     2764823
          5                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          5                        tex_cache_hit_rate                                                Unified Cache Hit Rate       5.72%      12.00%       6.97%
          5                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  1.9541GB/s  2.0390GB/s  1.9719GB/s
          5                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  3.3834GB/s  3.4037GB/s  3.3984GB/s
          5                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)     1588800     1666163     1604272
          5                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)     2764800     2764800     2764800
          5                        l2_read_throughput                                                 L2 Throughput (Reads)  2.0188GB/s  2.0312GB/s  2.0279GB/s
          5                       l2_write_throughput                                                L2 Throughput (Writes)  3.3835GB/s  3.4037GB/s  3.3984GB/s
          5                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          5                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          5                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          5                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          5                          gld_transactions                                              Global Load Transactions      365762      365762      365762
          5              gld_transactions_per_request                                  Global Load Transactions Per Request    3.968772    3.968772    3.968772
          5                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          5                          dram_utilization                                             Device Memory Utilization    Max (10)    Max (10)    Max (10)
          5                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          5                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          5                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          5                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          5                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          5                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          5             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          5                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    1.349142    1.354836    1.352649
          5                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.10%       0.10%       0.10%
          5                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)      55.24%      55.28%      55.26%
