==21492== NVPROF is profiling process 21492, command: ./encryptApp
==21492== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==21492== Profiling application: ./encryptApp
==21492== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.62778s  975.00us                    -               -         -         -         -  2.6367MB  2.6410GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.75607s  797.18us                    -               -         -         -         -  2.6367MB  3.2301GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.75749s  776.18us                    -               -         -         -         -  2.6367MB  3.3174GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.75840s  40.087ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [215]
2.79880s  1.0796ms                    -               -         -         -         -  2.6367MB  2.3850GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.91563s  786.91us                    -               -         -         -         -  2.6367MB  3.2722GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.91703s  779.93us                    -               -         -         -         -  2.6367MB  3.3015GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.91793s  41.778ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [226]
2.96030s  986.40us                    -               -         -         -         -  2.6367MB  2.6104GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.07512s  765.56us                    -               -         -         -         -  2.6367MB  3.3635GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.07600s  6.6426ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [235]
3.08293s  915.25us                    -               -         -         -         -  2.6367MB  2.8133GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.19992s  753.32us                    -               -         -         -         -  2.6367MB  3.4181GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.20113s  902.08us                    -               -         -         -         -  2.6367MB  2.8544GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.20215s  41.770ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [245]
3.24451s  815.56us                    -               -         -         -         -  2.6367MB  3.1572GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.36014s  776.08us                    -               -         -         -         -  2.6367MB  3.3179GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.36105s  6.6192ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [254]
