==14876== NVPROF is profiling process 14876, command: ./encryptApp
==14876== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==14876== Profiling application: ./encryptApp
==14876== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
3.21152s  983.13us                    -               -         -         -         -  2.6367MB  2.6191GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.21267s  41.814ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [245]
3.25475s  763.43us                    -               -         -         -         -  2.6367MB  3.3728GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.37464s  772.38us                    -               -         -         -         -  2.6367MB  3.3337GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.37554s  7.7857ms            (160 1 1)       (170 6 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [254]
3.38368s  751.92us                    -               -         -         -         -  2.6367MB  3.4245GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.49852s  773.74us                    -               -         -         -         -  2.6367MB  3.3279GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.49974s  895.98us                    -               -         -         -         -  2.6367MB  2.8738GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.50076s  41.823ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [264]
3.54297s  749.88us                    -               -         -         -         -  2.6367MB  3.4338GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.65966s  774.62us                    -               -         -         -         -  2.6367MB  3.3241GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.66056s  7.8097ms            (160 1 1)       (170 6 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [273]
3.66855s  756.60us                    -               -         -         -         -  2.6367MB  3.4033GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.78644s  764.99us                    -               -         -         -         -  2.6367MB  3.3660GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.78766s  895.41us                    -               -         -         -         -  2.6367MB  2.8757GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.78868s  41.916ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [283]
3.83092s  924.53us                    -               -         -         -         -  2.6367MB  2.7851GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.95741s  1.2022ms                    -               -         -         -         -  2.6367MB  2.1418GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.95883s  12.278ms            (160 1 1)       (170 6 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [292]
3.97230s  1.1967ms                    -               -         -         -         -  2.6367MB  2.1516GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
4.14409s  894.22us                    -               -         -         -         -  2.6367MB  2.8795GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
4.14550s  1.0569ms                    -               -         -         -         -  2.6367MB  2.4362GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
4.14673s  41.907ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [302]
4.18887s  886.56us                    -               -         -         -         -  2.6367MB  2.9044GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
4.42502s  1.0046ms                    -               -         -         -         -  2.6367MB  2.5632GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
4.42615s  7.9050ms            (160 1 1)       (170 6 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [311]
4.43783s  2.8530ms                    -               -         -         -         -  2.6367MB  924.20MB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
SrcMemType: The type of source memory accessed by memory operation/copy
DstMemType: The type of destination memory accessed by memory operation/copy
