==14876== NVPROF is profiling process 14876, command: ./encryptApp
==14876== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==14876== Profiling application: ./encryptApp
==14876== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
608.51ms  3.8020us                    -               -         -         -         -  7.5000KB  1.8813GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
615.46ms  486.57ms            (480 1 1)       (960 1 1)        32        0B  15.000KB         -           -           -           -  NVIDIA Tegra X1         1         7  prbgaKernel(unsigned char*, unsigned char*, unsigned char*, double const *, int) [117]
1.11795s  2.3290ms                    -               -         -         -         -  2.6367MB  1.1056GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.12202s  968.80us                    -               -         -         -         -  2.6367MB  2.6578GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.12488s  806.66us                    -               -         -         -         -  2.6367MB  3.1921GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.13802s  2.4070ms                    -               -         -         -         -  2.6367MB  1.0698GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.14059s  14.021ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [129]
1.15497s  835.10us                    -               -         -         -         -  2.6367MB  3.0834GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.32049s  875.15us                    -               -         -         -         -  2.6367MB  2.9423GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.32230s  1.0079ms                    -               -         -         -         -  2.6367MB  2.5547GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.32344s  48.958ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [139]
1.37296s  1.7440ms                    -               -         -         -         -  2.6367MB  1.4764GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.55356s  1.0301ms                    -               -         -         -         -  2.6367MB  2.4997GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.55475s  12.635ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [148]
1.57207s  753.43us                    -               -         -         -         -  2.6367MB  3.4176GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.70567s  1.0214ms                    -               -         -         -         -  2.6367MB  2.5210GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.70722s  1.0041ms                    -               -         -         -         -  2.6367MB  2.5644GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.70837s  57.223ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [158]
1.76832s  869.00us                    -               -         -         -         -  2.6367MB  2.9631GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.91753s  1.1517ms                    -               -         -         -         -  2.6367MB  2.2357GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.91883s  11.651ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [167]
1.93634s  836.30us                    -               -         -         -         -  2.6367MB  3.0790GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.06932s  946.67us                    -               -         -         -         -  2.6367MB  2.7200GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.07088s  1.1622ms                    -               -         -         -         -  2.6367MB  2.2156GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.07217s  55.683ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [177]
2.13305s  1.4068ms                    -               -         -         -         -  2.6367MB  1.8303GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.29165s  904.27us                    -               -         -         -         -  2.6367MB  2.8475GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.29272s  8.4054ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [186]
2.30136s  785.20us                    -               -         -         -         -  2.6367MB  3.2793GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.42354s  871.51us                    -               -         -         -         -  2.6367MB  2.9546GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.42488s  937.45us                    -               -         -         -         -  2.6367MB  2.7467GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.42596s  39.847ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [196]
2.46608s  884.84us                    -               -         -         -         -  2.6367MB  2.9100GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.58114s  830.20us                    -               -         -         -         -  2.6367MB  3.1016GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.58212s  8.5933ms            (160 1 1)       (170 6 1)        30        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [205]
2.59089s  728.63us                    -               -         -         -         -  2.6367MB  3.5339GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.70651s  1.0236ms                    -               -         -         -         -  2.6367MB  2.5156GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.70816s  1.2202ms                    -               -         -         -         -  2.6367MB  2.1102GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.70955s  40.246ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [215]
2.75016s  854.73us                    -               -         -         -         -  2.6367MB  3.0125GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.87891s  1.0574ms                    -               -         -         -         -  2.6367MB  2.4351GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.88057s  1.2548ms                    -               -         -         -         -  2.6367MB  2.0521GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
2.88200s  50.727ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [226]
2.94267s  1.7804ms                    -               -         -         -         -  2.6367MB  1.4463GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.07547s  2.4581ms                    -               -         -         -         -  2.6367MB  1.0475GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
3.07796s  9.2923ms            (160 1 1)       (170 6 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  inverseConfusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [235]
3.08743s  830.25us                    -               -         -         -         -  2.6367MB  3.1014GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
3.21017s  865.78us                    -               -         -         -         -  2.6367MB  2.9741GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
