==7388== NVPROF is profiling process 7388, command: ./encryptApp
==7388== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7388== Profiling application: ./encryptApp
==7388== Profiling result:
==7388== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: confusionKernel(unsigned char*, unsigned char*, int, int, int, unsigned long)
          5               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          5               inst_executed_global_stores                             Warp level instructions for global stores       86662       86662       86662
          5                inst_executed_local_stores                              Warp level instructions for local stores          63          63          63
          5               inst_executed_shared_stores                             Warp level instructions for shared stores      172800      172800      172800
          5              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          5              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           5           5           5
          5           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          5             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          5          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          5              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          5                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          5                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads     8301376     8301376     8301376
          5                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads        2656        2816        2732
          5                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          5               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.     8302720     8302720     8302720
          5                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          5              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics         160         160         160
          5                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          5                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          5             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          5                      global_load_requests              Total number of global load requests from Multiprocessor      345818      345818      345818
          5                       local_load_requests               Total number of local load requests from Multiprocessor         306         306         306
          5                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          5                     global_store_requests             Total number of global store requests from Multiprocessor      345790      345790      345790
          5                      local_store_requests              Total number of local store requests from Multiprocessor          70          70          70
          5                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          5                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           5           5           5
          5                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          5                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          5                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          5                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          5                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       4.29%       4.42%       4.36%
          5                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      49.29%      49.87%      49.69%
          5                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      10.21%      10.75%      10.53%
          5                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          5                                stall_sync                                 Issue Stall Reasons (Synchronization)      12.35%      12.72%      12.60%
          5                               stall_other                                           Issue Stall Reasons (Other)      14.41%      14.99%      14.79%
          5          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.02%       0.04%       0.02%
          5                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.39%       0.41%       0.40%
          5                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       3.55%       4.20%       3.86%
          5                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       3.67%       3.79%       3.74%
          5                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          5                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          5                      l2_read_transactions                                                  L2 Read Transactions      264435      266665      265334
          5                     l2_write_transactions                                                 L2 Write Transactions      259501      259549      259522
          5                     local_memory_overhead                                                 Local Memory Overhead       0.03%       0.03%       0.03%
          5                        tex_cache_hit_rate                                                Unified Cache Hit Rate      62.48%      62.48%      62.48%
          5                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  2.9294GB/s  2.9507GB/s  2.9440GB/s
          5                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  2.9289GB/s  2.9502GB/s  2.9435GB/s
          5                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      259502      259505      259503
          5                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      259460      259460      259460
          5                        l2_read_throughput                                                 L2 Throughput (Reads)  3.0025GB/s  3.0274GB/s  3.0101GB/s
          5                       l2_write_throughput                                                L2 Throughput (Writes)  2.9299GB/s  2.9508GB/s  2.9442GB/s
          5                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  59.184KB/s  59.614KB/s  59.478KB/s
          5                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)          10          10          10
          5                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          5                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          5                          gld_transactions                                              Global Load Transactions      345834      345834      345834
          5              gld_transactions_per_request                                  Global Load Transactions Per Request    4.002616    4.002616    4.002616
          5                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          5                          dram_utilization                                             Device Memory Utilization    Max (10)    Max (10)    Max (10)
          5                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          5                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          5                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          5                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          5                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          5                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          5             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          5                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    4.090375    4.198362    4.155377
          5                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       2.89%       2.94%       2.92%
          5                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       9.51%       9.68%       9.60%
