==4849== NVPROF is profiling process 4849, command: ./encryptApp
==4849== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4849== Profiling application: ./encryptApp
==4849== Profiling result:
==4849== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int, int, unsigned char*)
          5               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          5               inst_executed_global_stores                             Warp level instructions for global stores     4167000     4167000     4167000
          5                inst_executed_local_stores                              Warp level instructions for local stores      290700      290700      290700
          5               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          5              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          5              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas       23353       23800       23508
          5           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          5             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          5          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          5              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          5                     inst_executed_tex_ops                                   Warp level instructions for texture      700906     1474875     1053493
          5                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads   224553600   224553600   224553600
          5                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads    12584672    13753440    13231712
          5                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          5               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.   135648000   135648000   135648000
          5                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          5              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics      744224      750016      746662
          5                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          5                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          5             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          5                      global_load_requests              Total number of global load requests from Multiprocessor     7017300     7017300     7017300
          5                       local_load_requests               Total number of local load requests from Multiprocessor     2223000     2223000     2223000
          5                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          5                     global_store_requests             Total number of global store requests from Multiprocessor     3917700     3917700     3917700
          5                      local_store_requests              Total number of local store requests from Multiprocessor      321300      321300      321300
          5                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          5                    global_atomic_requests            Total number of global atomic requests from Multiprocessor       23181       23346       23245
          5                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          5                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          5                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          5                     texture_load_requests             Total number of texture Load requests from Multiprocessor     4361880     9841943     7214412
          5                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       7.79%       7.90%       7.85%
          5                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      17.17%      17.33%      17.27%
          5                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      65.96%      66.52%      66.11%
          5                             stall_texture                                         Issue Stall Reasons (Texture)       0.04%       0.04%       0.04%
          5                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.40%       0.42%       0.41%
          5                               stall_other                                           Issue Stall Reasons (Other)       4.82%       5.13%       5.03%
          5          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.02%       0.04%       0.03%
          5                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       1.01%       1.07%       1.05%
          5                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          5                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       2.18%       2.24%       2.21%
          5                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          5                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          5                      l2_read_transactions                                                  L2 Read Transactions     7646694    13305127    10924553
          5                     l2_write_transactions                                                 L2 Write Transactions     4380665     6303856     5511521
          5                     local_memory_overhead                                                 Local Memory Overhead       3.91%       5.35%       4.60%
          5                        tex_cache_hit_rate                                                Unified Cache Hit Rate      33.65%      51.97%      45.40%
          5                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  3.9786GB/s  6.3377GB/s  4.9820GB/s
          5                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  1.8899GB/s  1.9306GB/s  1.9078GB/s
          5                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)     8923700    14085582    11069405
          5                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)     4239000     4239000     4239000
          5                        l2_read_throughput                                                 L2 Throughput (Reads)  3.4587GB/s  5.9320GB/s  4.9168GB/s
          5                       l2_write_throughput                                                L2 Throughput (Writes)  1.9580GB/s  2.8513GB/s  2.4806GB/s
          5                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  10.676MB/s  10.939MB/s  10.768MB/s
          5                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)       46342       47238       46729
          5                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          5                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          5                          gld_transactions                                              Global Load Transactions     7092902     7092902     7092902
          5              gld_transactions_per_request                                  Global Load Transactions Per Request    1.065000    1.065000    1.065000
          5                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          5                          dram_utilization                                             Device Memory Utilization    Max (10)    Max (10)    Max (10)
          5                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          5                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          5                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          5                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          5                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          5                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          5             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          5                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    2.088504    2.137192    2.118181
          5                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          5                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
