==31642== NVPROF is profiling process 31642, command: ./encryptApp
==31642== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==31642== Profiling application: ./encryptApp
==31642== Profiling result:
==31642== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: confusionKernel(unsigned char*, unsigned char*, int, int, int, unsigned long)
          5                             sm_efficiency                                               Multiprocessor Activity      99.96%      99.96%      99.96%
          5                        achieved_occupancy                                                    Achieved Occupancy    0.648162    0.657323    0.651855
          5                                       ipc                                                          Executed IPC    0.463027    0.464918    0.463854
          5                                issued_ipc                                                            Issued IPC    0.461870    0.465609    0.463525
          5                             inst_per_warp                                                 Instructions per warp   93.000000   93.000000   93.000000
          5                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          5                 warp_execution_efficiency                                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          5         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      97.24%      97.24%      97.24%
          5                      inst_replay_overhead                                           Instruction Replay Overhead    0.000144    0.000165    0.000154
          5                    issue_slot_utilization                                                Issue Slot Utilization      10.06%      10.14%      10.09%
          5      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.000000    1.000000    1.000000
          5     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.000000    1.000000    1.000000
          5       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          5      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          5              gst_transactions_per_request                                 Global Store Transactions Per Request   32.000000   32.000000   32.000000
          5                 shared_store_transactions                                             Shared Store Transactions       86400       86400       86400
          5                  shared_load_transactions                                              Shared Load Transactions       86400       86400       86400
          5                   local_load_transactions                                               Local Load Transactions           0           0           0
          5                  local_store_transactions                                              Local Store Transactions           0           0           0
          5                          gst_transactions                                             Global Store Transactions     2764800     2764800     2764800
          5                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          5                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          5                  gld_requested_throughput                                      Requested Global Load Throughput  415.61MB/s  418.72MB/s  417.19MB/s
          5                  gst_requested_throughput                                     Requested Global Store Throughput  415.61MB/s  418.72MB/s  417.19MB/s
          5                            gld_throughput                                                Global Load Throughput  1.2176GB/s  1.2267GB/s  1.2222GB/s
          5                            gst_throughput                                               Global Store Throughput  12.988GB/s  13.085GB/s  13.037GB/s
          5                      tex_cache_throughput                                              Unified Cache Throughput  1.6235GB/s  1.6356GB/s  1.6297GB/s
          5                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                    shared_load_throughput                                         Shared Memory Load Throughput  1.6235GB/s  1.6356GB/s  1.6297GB/s
          5                   shared_store_throughput                                        Shared Memory Store Throughput  1.6235GB/s  1.6356GB/s  1.6297GB/s
          5                            gld_efficiency                                         Global Memory Load Efficiency      33.33%      33.33%      33.33%
          5                            gst_efficiency                                        Global Memory Store Efficiency       3.12%       3.12%       3.12%
          5                    tex_cache_transactions                                            Unified Cache Transactions      345600      345600      345600
          5                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           double_precision_fu_utilization                            Double-Precision Function Unit Utilization     Low (2)     Low (2)     Low (2)
          5                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                             flop_count_dp                           Floating Point Operations(Double Precision)     1843200     1843200     1843200
          5                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)      921600      921600      921600
          5                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          5                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)      921600      921600      921600
          5                             flop_count_sp                           Floating Point Operations(Single Precision)    16992000    16992000    16992000
          5                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)     1382400     1382400     1382400
          5                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)     6854400     6854400     6854400
          5                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)     1900800     1900800     1900800
          5                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          5                             inst_executed                                                 Instructions Executed     2678400     2678400     2678400
          5                               inst_issued                                                   Instructions Issued     2678773     2678813     2678794
          5                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          5                         shared_efficiency                                              Shared Memory Efficiency      25.00%      25.00%      25.00%
          5                        shared_utilization                                             Shared Memory Utilization     Low (1)     Low (1)     Low (1)
