==23275== NVPROF is profiling process 23275, command: ./encryptApp
==23275== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23275== Profiling application: ./encryptApp
==23275== Profiling result:
==23275== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int, int, unsigned char*)
          5               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          5               inst_executed_global_stores                             Warp level instructions for global stores     3070800     3070800     3070800
          5                inst_executed_local_stores                              Warp level instructions for local stores       42300       42300       42300
          5               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          5              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          5              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas        3870        4058        3935
          5           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          5             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          5          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          5              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          5                     inst_executed_tex_ops                                   Warp level instructions for texture      127695     1013906      723572
          5                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads   267235200   267235200   267235200
          5                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads     1610400     1880064     1715417
          5                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          5               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.    96480000    96480000    96480000
          5                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          5              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics      123808      128160      125920
          5                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          5                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          5             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          5                      global_load_requests              Total number of global load requests from Multiprocessor     8351100     8351100     8351100
          5                       local_load_requests               Total number of local load requests from Multiprocessor      396900      396900      396900
          5                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          5                     global_store_requests             Total number of global store requests from Multiprocessor     2968200     2968200     2968200
          5                      local_store_requests              Total number of local store requests from Multiprocessor       46800       46800       46800
          5                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          5                    global_atomic_requests            Total number of global atomic requests from Multiprocessor        3878        3974        3920
          5                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          5                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          5                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          5                     texture_load_requests             Total number of texture Load requests from Multiprocessor     5163719    10569931     8018174
          5                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       7.83%       8.10%       7.98%
          5                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      23.68%      24.48%      24.11%
          5                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      59.62%      60.96%      60.24%
          5                             stall_texture                                         Issue Stall Reasons (Texture)       0.01%       0.02%       0.02%
          5                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.07%       0.13%       0.11%
          5                               stall_other                                           Issue Stall Reasons (Other)       4.45%       4.55%       4.50%
          5          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.01%       0.03%       0.02%
          5                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.64%       0.69%       0.67%
          5                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          5                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       2.28%       2.38%       2.34%
          5                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          5                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          5                      l2_read_transactions                                                  L2 Read Transactions    11163838    12806494    11984572
          5                     l2_write_transactions                                                 L2 Write Transactions     3981170     5878876     5366806
          5                     local_memory_overhead                                                 Local Memory Overhead       0.64%       0.77%       0.69%
          5                        tex_cache_hit_rate                                                Unified Cache Hit Rate      35.93%      45.51%      41.72%
          5                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  5.7074GB/s  7.0530GB/s  6.6780GB/s
          5                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  1.7316GB/s  1.7765GB/s  1.7448GB/s
